Get nunique of age,df['age'].nunique()
Find minimum of height,df['height'].min()
Find standard deviation of height,df['height'].std()
Find mode of score,df['score'].mode()
Get variation in temperature,df['temperature'].std()
Find kurtosis of height,df['height'].kurt()
Compute kurtosis for temperature,df['temperature'].kurt()
Find mode of profit,df['profit'].mode()
Show covariance of age,df.cov()['age']
Compute running product for expenses,df['expenses'].cumprod()
Get unique values of height,df['height'].unique()
Get cummax for profit,df['profit'].cummax()
Show mean of profit,df['profit'].mean()
Find percentage change in age,df['age'].pct_change()
Find percentage change in height,df['height'].pct_change()
Get unique values of age,df['age'].unique()
Get statistical variance of weight,df['weight'].var()
Get cummax for age,df['age'].cummax()
Get middle value of temperature,df['temperature'].median()
Find variance of weight,df['weight'].var()
Get the min of profit,df['profit'].min()
Show percent change of height,df['height'].pct_change()
Find cumulative sum of weight,df['weight'].cumsum()
Find cumulative min of weight,df['weight'].cummin()
Find cumulative sum of sales,df['sales'].cumsum()
Compute running total for weight,df['weight'].cumsum()
Find covariance of sales,df.cov()['sales']
Find mode of height,df['height'].mode()
Find standard deviation of profit,df['profit'].std()
Show covariance of profit,df.cov()['profit']
Get total of age,df['age'].sum()
Get quantile for height,df['height'].quantile(0.5)
Find value counts of revenue,df['revenue'].value_counts()
Show covariance of price,df.cov()['price']
Show kurtosis of revenue,df['revenue'].kurt()
what all category do we have,df['category'].unique()
which category has highest frequnecy and whats thy highest frequnecy,df['category'].value_counts().nlargest(1)
which date has highest amount ,df.groupby('date')['amount'].sum().idxmax()
which date has highest amount and how much,df.groupby('date')['amount'].sum().nlargest(1)
which time has the highest frequency,df['time'].value_counts().idxmax()
which time has highest net amount,df.groupby('time')['amount'].sum().idxmax()
and how much ,df.groupby('time')['amount'].sum().nlargest(1)
which iteam has the highest amount,df.loc[df['amount'].idxmax()]['item']
whichday had the highest amount spent,df.loc[df['amount'].idxmax()]['day']
and how much,df['amount'].max()
which day has the highest amount spent,df.groupby('day')['amount'].max().idxmax()
and how much,df.groupby('day')['amount'].max()
sort the column with respect to days,df.sort_values(by='day')
i mean sunday first monday second,"df['day'].map({'Sunday': 0, 'Monday': 1, 'Tuesday': 2, 'Wednesday': 3, 'Thursday': 4, 'Friday': 5, 'Saturday': 6}).sort_values().index"
which time has the most no .of items bought,df.groupby('time')['item'].count().idxmax()
how many time has chai been bought at 7:00,(df[(df['item'] == 'chai') & (df['time'] == '7:00')].shape[0])
how many time has chai been bought at 7:00,"(df[(df['item'] == 'chai') & (df['time'] == '7:00')].shape[0]) 

or 

((df['item'] == 'chai') & (df['time'] == '7:00')).sum() 

prefer 
((df['item'] == 'chai') & (df['time'] == '7:00')).sum()"
how many time has chai been bought,(df['item'] == 'chai').sum()
how many time has chai been bought,df['item'].eq('chai').sum()
item with highest frequecny at 7:00,df[df['time'] == '7:00']['item'].value_counts().idxmax()
how many times chai was taken at 7:00 ,df[(df['item'] == 'chai') & (df['time'] == '7:00')].shape[0]
time highest average spending,df.groupby('time')['amount'].mean().idxmax()
and how much,df.groupby('time')['amount'].mean().max()
how much amount was spent with friend,"df.loc[df['category'] == 'friend', 'amount'].sum()"
and how much alone,"df.loc[df['category'] == 'alone', 'amount'].sum()"
total spent in month ,df['amount'].sum()
rolling average of 3 days,df['amount'].rolling(3).mean()
rolling average of 3 days with  dates,"df.rolling(3, on='date')['amount'].mean()"
from date 01-03-2023 to 31-03-2023," df.loc[(df['date'].between('2023-03-01', '2023-03-31')) ,'amount'].sum()"
from date 01-03-2023 to 31-03-2024 i mean rolling mean of 3 days ,"df.loc[(df['date'].between('2023-03-01', '2024-03-31'))].rolling(3, on='date')['amount'].mean()"
total spengin on 12-03-2023,df[df['date'] == '2023-03-12']['amount'].sum()
net spend on sunday,df[df['day'] == 'Sunday']['amount'].sum()
using the same method find rolling avergae for every 3 days,"df.rolling(3, on='day')['amount'].mean()"
on='date',"df.rolling(3, on='date')['amount'].mean()"
average price of chicken,df[df['item'] == 'chicken']['amount'].mean()
which team socred maximum no.of goals,df.groupby('team')['goals'].sum().idxmax()
and how many,df.groupby('team')['goals'].sum().max()
which team scored maximum no.of goals and how many,df.groupby('team')['goals'].sum().nlargest(1)
how many players do Manchester United have,df[df['team'] == 'Manchester United']['player'].nunique()
Which team had highest no. of penalties,df.groupby('team')['penalties'].sum().idxmax()
plot a chart between no .of teams and yellow cards,df['yellowcards'].value_counts().plot(kind='bar')
plot chart between teams and yellow card,df['team'].value_counts().plot(kind='bar')
plot a scatter plot between teams and yellow card,df.groupby('team')['yellowcards'].sum().plot(kind='bar')
how man people with age greater than 40 suffer from diabities,(df['age'] > 40) & (df['diabetic'] == 'Yes')
no. people with age greater than 40 and suffer from diabities,((df['age'] >40) & (df['diabetic'] == 'Yes')).sum()
no.of people with age greater than 60 and suffer from diabities,((df['age'] >60) & (df['diabetic'] == 'Yes')).sum()
no.of people with weight greater than 80 and suffer from hear disorder,((df['weight_kg'] >80) & (df['heart_disease'] == 'Yes')).sum()
women with age greater than 60 and have heart disease,((df['age'] >60) & (df['gender'] == 'Female') & (df['heart_disease'] == 'Yes')).sum()
no.of people who walk more than 10000 steps and have hear disease,((df['daily_steps'] >10000) & (df['heart_disease'] == 'Yes')).sum()
no. of people who have diabities and hear disease,((df['diabetic'] == 'Yes') & (df['heart_disease'] == 'Yes')).sum()
no.of people who are diabetic but do not have heart disease,((df['diabetic'] == 'Yes') & (df['heart_disease'] == 'No')).sum()
no.of people who are not diabetic but do  have heart disease,((df['diabetic'] == 'No') & (df['heart_disease'] == 'Yes')).sum()
calculate correlation of height and weight,"df[['height_cm', 'weight_kg']].corr().iloc[0,1]"
 calculate correlation of height and weight in women,"df[df['gender'] == 'Female'][['height_cm', 'weight_kg']].corr().iloc[0,1]"
calculate correlation of height and weight in men,"df[df['gender'] == 'Male'][['height_cm', 'weight_kg']].corr().iloc[0,1]"
calculate correlation of diabetice people and wieght,df[df['diabetic'] == 'Yes'][['weight_kg']].std()
